HYBAS_ID,Native.richness,Introduced.richness,p.perm,new_FBI_value,jaccard.S,Jaccard.D,Jaccard.D.scaled,Jaccard.S.scaled,new.FBI,
7050282770,33,8,0.0135,0.442007788,0.804878049,0.195121951,0.641114983,0.358885017,Moderate change (0.25 - 0.5),
7050305410,26,7,0.008,0.480516042,0.787878788,0.212121212,0.696969697,0.303030303,Moderate change (0.25 - 0.5),
7050332670,22,9,0.0005,0.657664813,0.709677419,0.290322581,0.953917051,0.046082949,High change (0.5 - 0.75),
7050256690,27,7,0.01025,0.466383217,0.794117647,0.205882353,0.676470588,0.323529412,Moderate change (0.25 - 0.5),
7050298300,26,8,0.0015,0.533009391,0.764705882,0.235294118,0.773109244,0.226890756,High change (0.5 - 0.75),
7050014940,31,10,0.00175,0.552509735,0.756097561,0.243902439,0.801393728,0.198606272,High change (0.5 - 0.75),
7050016260,32,10,0.0025,0.539354741,0.761904762,0.238095238,0.782312925,0.217687075,High change (0.5 - 0.75),
7050016270,30,11,0.0005,0.607760708,0.731707317,0.268292683,0.881533101,0.118466899,High change (0.5 - 0.75),
7050016850,19,1,0.63425,0.113264496,0.95,0.05,0.164285714,0.835714286,Low change (0 - 0.25),
7050016860,21,3,0.15475,0.283161239,0.875,0.125,0.410714286,0.589285714,Moderate change (0.25 - 0.5),
7050017140,19,0,1,0,1,0,0,1,No change (0),
7050017150,23,2,0.44025,0.181223193,0.92,0.08,0.262857143,0.737142857,Low change (0 - 0.25),
7050017930,21,0,1,0,1,0,0,1,No change (0),
7050017940,22,0,1,0,1,0,0,1,No change (0),
7050018020,25,0,1,0,1,0,0,1,No change (0),
7050018030,25,2,0.49075,0.167799253,0.925925926,0.074074074,0.243386243,0.756613757,Low change (0 - 0.25),
7050019010,32,1,0.87775,0.068645149,0.96969697,0.03030303,0.0995671,0.9004329,Low change (0 - 0.25),
7050019020,21,2,0.368,0.196981732,0.913043478,0.086956522,0.285714286,0.714285714,Low change (0 - 0.25),
7050019190,24,0,1,0,1,0,0,1,No change (0),
7050019200,23,1,0.70225,0.09438708,0.958333333,0.041666667,0.136904762,0.863095238,Low change (0 - 0.25),
7050020090,26,1,0.7765,0.083899626,0.962962963,0.037037037,0.121693122,0.878306878,Low change (0 - 0.25),
7050020100,27,1,0.80275,0.080903211,0.964285714,0.035714286,0.117346939,0.882653061,Low change (0 - 0.25),
7050021430,13,1,0.507,0.161806422,0.928571429,0.071428571,0.234693878,0.765306122,Low change (0 - 0.25),
