Weight for area-based protection [Watershed stress],Weight for area-based protection [Fish biodiversity change ],Weight for area-based protection [Climate change],Weight for area-based protection [SAR density],Weight for area-based protection [Fish species richness],Weight for area-based protection [Fish species priority (average rarity)],Weight for habitat restoration [Watershed stress],Weight for habitat restoration [Fish biodiversity change ],Weight for habitat restoration [Climate change],Weight for habitat restoration [SAR density],Weight for habitat restoration [Fish species richness],Weight for habitat restoration [Fish species priority (average rarity)],Weight for aquatic species at risk management [Watershed stress],Weight for aquatic species at risk management [Fish biodiversity change ],Weight for aquatic species at risk management [Climate change],Weight for aquatic species at risk management [SAR density],Weight for aquatic species at risk management [Fish species richness],Weight for aquatic species at risk management [Fish species priority (average rarity)],Weight for aquatic invasive species management [Watershed stress],Weight for aquatic invasive species management [Fish biodiversity change ],Weight for aquatic invasive species management [Climate change],Weight for aquatic invasive species management [SAR density],Weight for aquatic invasive species management [Fish species richness],Weight for aquatic invasive species management [Fish species priority (average rarity)],Co_author
-1,-1.2,-1.4,1.6,1,1.6,1.33333333333333,1.16666666666666,-1,1.5,1.16666666666666,1.33333333333333,-1,2,-1.5,2.25,0,2.125,-1,1.66666666666666,1.55555555555555,1.33333333333333,1.11111111111111,1.22222222222222,Daniel Gillis
0,1,0,1,1,1,2,-1,-1,-1,-1,0,2,-1,2,2,-1,-1,1,1,1,1,1,1,Nick M
-1.5,-1.75,1,1.25,0,1.375,1.5,1.5,-1,1.4,-1.5,-1.2,1.6,1.6,1,1.8,1.2,1.6,1.23076923076923,1.23076923076923,0,1,1,0,Ken Minns
-1,-1,0,0,2.5,5,5,-5,-2,1,1,1,1,1,1,2.5,0,0,1.52941176470588,2.44117647058823,-2.44117647058823,-1.05882352941176,2.94117647058823,-1,Marie-Josee
-1,-1,-1,0,2.5,2.5,3,-1,0,1,1,1,1,1,1,3,0,0,-1,2,-1,0,0,0,Cody Dey
-4.25531914893617,-1.46808510638297,-2.08510638297872,3.74468085106383,1,3.34042553191489,5.4054054054054,3.81081081081081,0,3.08108108108108,1,2.27027027027027,1.59016393442622,2.1311475409836,1,3.27868852459016,0,2.55737704918032,3.35714285714285,4.76190476190476,1.57142857142857,2.47619047619047,0,1,Cindy Chu
1,-1,1.66666666666666,0,0,0,4,-3,-1,3.25,3.25,4,1.4,1,1.4,1,1,1,1.875,-1,1.875,1.25,1.25,1.25,Don Jackson
2.40963855421686,-1.71084337349397,-1,2.25301204819277,-1.44578313253012,1.83132530120481,2.06976744186046,2.04651162790697,-1,2.03488372093023,1.56976744186046,1.80232558139534,1.78787878787878,1.57575757575757,-1,2.01010101010101,-1.04040404040404,1.58585858585858,2.0813953488372,2.32558139534883,-1,-1.22093023255813,-1.16279069767441,1.15116279069767,Anas
-1.66666666666667,1.66666666666667,1.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,5,1.66666666666667,-3.33333333333333,3.33333333333333,3.33333333333333,1.66666666666667,1.66666666666667,3.33333333333333,1.66666666666667,5,3.33333333333333,5,3.33333333333333,5,0,3.33333333333333,1.66666666666667,3.33333333333333,Scott
0,0,2,1.66666666666667,5,5,5,5,3.33333333333333,1.66666666666667,3.33333333333333,1.66666666666667,5,3.33333333333333,3.33333333333333,5,0,0,3.33333333333333,5,3.33333333333333,3.33333333333333,0,3.33333333333333,Cass
1.66666666666667,3.33333333333333,3,5,3.33333333333333,5,5,1.66666666666667,5,5,3.33333333333333,5,5,5,5,5,3.33333333333333,5,5,5,5,5,5,5,Darren
-3.33333333333333,0,2,5,5,5,3.33333333333333,1.66666666666667,1.66666666666667,3.33333333333333,0,5,3.33333333333333,0,1.66666666666667,5,0,3.33333333333333,-1.66666666666667,0,-1.66666666666667,5,3.33333333333333,5,Lauren
